Year,SampleName,Env.type,locality_code,locality,elevation,max.temp,mean.temp,min.temp,RH.mean,wind.mean,sol_rad,TSKY.mean,sex,SVL,morphotype,tissue_type,zscore,ratio,Age,Age2,Total_Heatwaves,Total_Droughts
2022,22.CT4,D,CT,Cone of Teide,3551,10.16,7.65,5.22,100,3.77,239,0,F,8.3,galloti,tail,-0.357631647,0.770955098,3.967,4.144472585,13,8
2022,LP10,C,LP,Llanito Perera,488,23.7,21.51,19.44,80.4,5.01,226.36,12.09,F,8.4,eisentrauti,tail,,,4.027,4.264491534,13,8
2022,V5,B,VL,Vilaflor,1331,19.4,17.11,14.73,99.1,1.87,241.37,7.5,M,8.4,galloti,tail,0.539637967,2.951320259,4.027,4.264491534,13,8
2022,22.CT6,D,CT,Cone of Teide,3551,10.16,7.65,5.22,100,3.77,239,0,F,8.6,galloti,tail,0.39394277,2.597280931,4.147,4.510030152,13,8
2022,BT5,D,BT,Base of Teide,2309,15.65,13.3,11.17,100,1.6,234.91,2.5,F,8.6,galloti,tail,0.899758678,3.826413587,4.147,4.510030152,13,8
2022,LR5,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,F,8.6,eisentrauti,tail,-0.036305596,1.551777402,4.147,4.510030152,13,8
2022,BT3,D,BT,Base of Teide,2309,15.65,13.3,11.17,100,1.6,234.91,2.5,F,8.7,galloti,tail,0.984825744,4.033126557,4.207,4.635417953,13,8
2022,M10,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,F,8.8,galloti,tail,1.162314124,4.464423322,4.267,4.762455267,13,8
2022,LG6,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,U,8.8,eisentrauti,tail,0.343369869,2.474388782,4.267,4.762455267,13,8
2022,LR6,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,F,8.9,eisentrauti,tail,0.038906666,1.734543198,4.327,4.891063952,13,8
2022,22.CT7,D,CT,Cone of Teide,3551,10.16,7.65,5.22,100,3.77,239,0,M,8.9,galloti,tail,-0.329952654,0.838215051,4.327,4.891063952,13,8
2022,BT7,D,BT,Base of Teide,2309,15.65,13.3,11.17,100,1.6,234.91,2.5,F,9,galloti,tail,0.549988603,2.976472305,4.387,5.021161198,13,8
2022,G9,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,F,9.1,galloti,tail,-0.327942018,0.843100896,4.447,5.15265969,13,8
2022,LR3,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,F,9.1,eisentrauti,tail,0.605473269,3.111300043,4.447,5.15265969,13,8
2022,LG2,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,M,9.1,eisentrauti,tail,-0.088798178,1.424220428,4.447,5.15265969,13,8
2022,LR4,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,F,9.2,eisentrauti,tail,0.538766209,2.949201889,4.507,5.285467798,13,8
2022,LP9,C,LP,Llanito Perera,488,23.7,21.51,19.44,80.4,5.01,226.36,12.09,M,9.2,eisentrauti,tail,0.201793171,2.130357406,4.507,5.285467798,13,8
2022,M3,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,F,9.3,galloti,tail,0.26262137,2.278169928,4.567,5.419489796,13,8
2022,V7,B,VL,Vilaflor,1331,19.4,17.11,14.73,99.1,1.87,241.37,7.5,M,9.3,galloti,tail,-0.673901581,0.002419158,4.567,5.419489796,13,8
2022,BT8,D,BT,Base of Teide,2309,15.65,13.3,11.17,100,1.6,234.91,2.5,F,9.4,galloti,tail,-0.497753424,0.43045918,4.627,5.554626099,13,8
2022,LP4,C,LP,Llanito Perera,488,23.7,21.51,19.44,80.4,5.01,226.36,12.09,M,9.4,eisentrauti,tail,-0.427351029,0.601536999,4.627,5.554626099,13,8
2022,LG15,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,F,9.5,eisentrauti,tail,-0.29687341,0.918597613,4.687,5.690773542,13,8
2022,LR7,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,F,9.5,eisentrauti,tail,0.407101512,2.629256675,4.687,5.690773542,13,8
2022,LR10,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,M,9.5,eisentrauti,tail,0.264115767,2.281801315,4.687,5.690773542,13,8
2022,M11,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,M,9.5,galloti,tail,-0.253489275,1.024021063,4.687,5.690773542,13,8
2022,G7,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,F,9.6,galloti,tail,-0.020223087,1.590857898,4.747,5.827825663,13,8
2022,M4,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,F,9.7,galloti,tail,0.351425169,2.493963161,4.807,5.965673024,13,8
2022,M7,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,F,9.7,galloti,tail,0.397741408,2.606511622,4.807,5.965673024,13,8
2022,G1,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,M,9.7,galloti,tail,0.974040164,4.006917599,4.807,5.965673024,13,8
2022,G11,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,M,9.7,galloti,tail,0.720669362,3.391226549,4.807,5.965673024,13,8
2022,LP16,C,LP,Llanito Perera,488,23.7,21.51,19.44,80.4,5.01,226.36,12.09,M,9.7,eisentrauti,tail,,,4.807,5.965673024,13,8
2022,LG5,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,U,9.8,eisentrauti,tail,,,4.867,6.104203543,13,8
2022,LG10,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,F,10,eisentrauti,tail,0.405631863,2.625685428,4.987,6.382854659,13,8
2022,V2,B,VL,Vilaflor,1331,19.4,17.11,14.73,99.1,1.87,241.37,7.5,M,10,galloti,tail,-0.445436531,0.557589229,4.987,6.382854659,13,8
2022,M9,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,F,10.1,galloti,tail,-0.275830971,0.969730741,5.047,6.522741145,13,8
2022,G8,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,M,10.1,galloti,tail,-0.410368696,0.642804068,5.047,6.522741145,13,8
2022,LG8,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,M,10.1,eisentrauti,tail,0.663239795,3.251672702,5.047,6.522741145,13,8
2022,LG4,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,U,10.1,eisentrauti,tail,,,5.047,6.522741145,13,8
2022,LR2,C,LR,Los Realejo,161,25.13,22.95,20.62,65.66,3.94,236.99,13.45,M,10.2,eisentrauti,tail,-0.436745789,0.578707732,5.107,6.662843347,13,8
2022,M5,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,M,10.2,galloti,tail,-0.224311952,1.094921957,5.107,6.662843347,13,8
2022,M8,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,M,10.2,galloti,tail,-0.275830971,0.969730741,5.107,6.662843347,13,8
2022,22.CT3,D,CT,Cone of Teide,3551,10.16,7.65,5.22,100,3.77,239,0,M,10.3,galloti,tail,,,5.167,6.803041565,13,8
2022,BT4,D,BT,Base of Teide,2309,15.65,12.94,10.76,100,1.5,239.04,1.94,M,10.3,galloti,tail,-0.529140321,0.354189019,5.167,6.803041565,13,8
2022,22.CT8,D,CT,Cone of Teide,3551,10.16,7.65,5.22,100,3.77,239,0,M,10.5,galloti,tail,-0.482133509,0.468415573,5.287,7.083246018,13,8
2022,M1,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,M,10.5,galloti,tail,-0.443286612,0.562813532,5.287,7.083246018,13,8
2022,V6,B,VL,Vilaflor,1331,19.4,17.11,14.73,99.1,1.87,241.37,7.5,M,10.5,galloti,tail,-0.479032232,0.475951675,5.287,7.083246018,13,8
2022,G2,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,M,10.6,galloti,tail,-0.364685312,0.753814691,5.347,7.223012854,13,8
2022,BT6,D,BT,Base of Teide,2309,15.65,13.3,11.17,100,1.6,234.91,2.5,M,11,galloti,tail,-0.674838686,0.000141993,5.587,7.777096805,13,8
2022,G4,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,M,11,galloti,tail,-0.346168622,0.798810249,5.587,7.777096805,13,8
2022,M2,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,M,11,galloti,tail,-0.240932113,1.054534964,5.587,7.777096805,13,8
2022,M6,A,EM,El Medano,121,25.36,23.2,21.31,72.64,4,246.8,13.68,M,11,galloti,tail,-0.269998494,0.983903658,5.587,7.777096805,13,8
2022,G6,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,M,11.5,galloti,tail,-0.241119283,1.054080143,5.887,8.450102087,13,8
2022,LG13,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,M,11.6,eisentrauti,tail,1.086360229,4.279855356,5.947,8.581050839,13,8
2022,LP3,C,LP,Llanito Perera,488,23.7,21.51,19.44,80.4,5.01,226.36,12.09,M,11.7,eisentrauti,tail,-0.288082154,0.939960365,6.007,8.71056289,13,8
2022,LG1,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,M,12.1,eisentrauti,tail,-0.276442464,0.968244813,6.247,9.212602884,13,8
2022,LG7,C,LG,La Guancha,277,24.64,22.45,20.23,75.9,5.15,221.86,12.97,M,12.1,eisentrauti,tail,-0.668095622,0.01652764,6.247,9.212602884,13,8
2022,LP8,C,LP,Llanito Perera,488,23.7,21.51,19.44,80.4,5.01,226.36,12.09,M,12.3,eisentrauti,tail,-0.539977916,0.327853664,6.367,9.453002421,13,8
2022,G10,A,GR,Granadilla,734,22.6,20.4,18.46,86,1.4,237.4,11.03,U,,galloti,tail,1.158811317,4.455911501,,,13,8
