Lagilis,Palgirus,Cocellatus,Zvivipara,Ckingii,Ggalloti_Gilbert
-0.890661556,,-0.524351209,0.733066771,,-0.550025627
0.315676441,,-0.27711011,1.242543986,,-0.161108819
-0.280171212,,-0.208822316,0.753586567,,-0.602401985
-0.602501256,,-0.148850327,-0.466285976,,-0.583762293
-0.623647475,,-0.140873489,-0.041760716,,-0.218840426
0.194018511,,-0.066977692,0.274654535,,-0.598916331
1.370529942,,-0.04083753,0.564511306,,-0.501546121
0.808052503,,0.167659636,1.004514355,,-0.536853272
-0.820248495,,0.799874243,-0.040529528,,-0.619161211
1.254362215,,1.406841848,1.047899066,,-0.529964602
-0.913705146,,-1.807429968,-0.43321979,,-0.55734369
0.024941949,,-1.577012373,0.723686293,,-0.354088431
0.640455986,,-1.397813558,0.46883043,,-0.554258418
-0.383738546,,-1.357874878,0.023140467,,-0.516313102
-0.836611137,,-1.283002337,-0.126360902,,0.587350061
-0.184043935,,-1.267744219,0.971096402,,-0.423429584
-0.609974603,,-1.267223587,0.515850077,,0.079402007
-0.837255218,,-1.236956495,0.767071004,,0.044921253
1.561874091,,-1.220716352,-0.231539512,,-0.438864413
1.561874091,,-1.204264259,0.546395258,,-0.276442464
1.561874091,,-1.189181229,0.212215728,,0.405631863
0.584544133,,-1.187339958,,,1.086360229
0.584544133,,-1.166271602,,,-0.29687341
0.584544133,,-1.110567004,,,0.052494829
1.115090093,,-1.07419941,,,-0.505049616
1.115090093,,-1.024897849,,,-0.381443519
1.115090093,,-1.013920087,,,-0.597096121
1.994552964,,-1.005720498,,,-0.590550482
1.994552964,,-1.002238076,,,-0.550787105
1.994552964,,-0.954195166,,,-0.088798178
0.462204511,,-0.941329735,,,0.343369869
0.462204511,,-0.93953743,,,-0.668095622
0.462204511,,-0.900556091,,,0.663239795
1.686265158,,-0.898716332,,,-0.140710301
1.686265158,,-0.845785184,,,0.69246311
1.686265158,,-0.841428776,,,-0.321679064
1.434065869,,-0.792906674,,,-0.288082154
1.434065869,,-0.76909641,,,-0.427351029
1.434065869,,-0.705853146,,,-0.539977916
-0.072444937,,-0.702670271,,,0.201793171
-0.072444937,,-0.691869008,,,0.264115767
-0.072444937,,-0.683397285,,,-0.436745789
0.727195731,,-0.662886273,,,0.605473269
0.727195731,,-0.640196516,,,0.538766209
0.727195731,,-0.583375607,,,-0.036305596
1.0004881,,-0.5609,,,0.038906666
1.0004881,,-0.540477107,,,0.407101512
1.0004881,,-0.532676548,,,-0.353688067
-0.348042825,,-0.482568484,,,0.577058533
-0.348042825,,-0.443718058,,,-0.443286612
-0.348042825,,-0.436767292,,,1.162314124
2.68920338,,-0.431688839,,,-0.253489275
2.68920338,,-0.420582281,,,-0.240932113
2.68920338,,-0.353598764,,,0.26262137
0.699696719,,-0.165962139,,,0.351425169
1.708328155,,-0.165572861,,,-0.224311952
1.708328155,,-0.155607253,,,-0.269998494
1.708328155,,-0.063429625,,,0.397741408
0.677768462,,0.122328556,,,-0.275830971
0.677768462,,0.196588436,,,-0.417806314
0.677768462,,0.235007465,,,-0.168683999
1.435473061,,0.277733448,,,-0.111245984
1.435473061,,0.509211518,,,-0.206775044
1.435473061,,0.81575884,,,-0.385091558
-0.455251669,,1.546954841,,,-0.282566056
-0.455251669,,,,,-0.531050526
-0.455251669,,,,,-0.519261404
3.884610788,,,,,-0.57002987
-1.168086629,,,,,-0.52636379
-0.250209204,,,,,-0.483130383
1.684359617,,,,,-0.415722088
1.684359617,,,,,-0.452869893
-0.834329919,,,,,-0.526198255
-0.834329919,,,,,-0.499156727
-0.834329919,,,,,-0.30081479
-1.138019216,,,,,-0.147489501
-1.138019216,,,,,-0.392452991
-0.191444496,,,,,-0.46835102
-0.191444496,,,,,-0.428952017
-0.191444496,,,,,-0.536614326
-0.415181602,,,,,-0.550440735
-0.415181602,,,,,-0.584086208
-1.009319256,,,,,-0.615164743
-1.009319256,,,,,-0.631624642
-0.524767802,,,,,-0.481979646
-0.524767802,,,,,-0.596411087
-0.524767802,,,,,-0.47224494
-0.668464091,,,,,0.474872425
-0.668464091,,,,,0.04175939
0.065949176,,,,,-0.198099245
0.065949176,,,,,-0.507044696
0.130749979,,,,,-0.167759584
0.130749979,,,,,-0.445436531
0.130749979,,,,,0.762505209
-0.229939343,,,,,-0.324886176
-0.229939343,,,,,0.539637967
-0.229939343,,,,,-0.479032232
-0.249001303,,,,,-0.673901581
-0.249001303,,,,,-0.420555509
0.235334165,,,,,-0.475912713
0.235334165,,,,,0.102500494
0.230544321,,,,,-0.483331109
0.230544321,,,,,-0.65119309
0.858563365,,,,,-0.436672618
0.858563365,,,,,-0.181676116
0.858563365,,,,,
2.281519254,,,,,
2.281519254,,,,,
-0.033142879,,,,,
-0.033142879,,,,,
-0.033142879,,,,,
0.113325921,,,,,
0.113325921,,,,,
0.113325921,,,,,
-0.452403172,,,,,
-0.452403172,,,,,
-0.573026656,,,,,
-0.573026656,,,,,
-0.573026656,,,,,
0.048901261,,,,,
0.048901261,,,,,
-0.179462288,,,,,
-0.179462288,,,,,
-0.179462288,,,,,
0.180001222,,,,,
0.215114226,,,,,
3.208329314,,,,,
3.208329314,,,,,
3.208329314,,,,,
0.127697883,,,,,
-0.257142671,,,,,
-0.589812331,,,,,
-0.589812331,,,,,
-0.589812331,,,,,
-0.529388483,,,,,
-0.529388483,,,,,
0.081782909,,,,,
0.081782909,,,,,
0.081782909,,,,,
0.016601606,,,,,
0.172880556,,,,,
