Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg
BT14.14,16.314,11.933,1.839,1.907,3,11.226,17.531
BT14.14,16.314,11.933,1.839,1.907,3,11.226,17.531
BT14.15,17.327,12.774,1.839,1.907,3,11.226,17.531
BT14.15,17.327,12.774,1.839,1.907,3,11.226,17.531
BT14.15,17.327,12.774,1.839,1.907,3,11.226,17.531
BT14.16,15.674,11.266,1.839,1.907,3,11.226,17.531
BT14.16,15.674,11.266,1.839,1.907,3,11.226,17.531
BT14.16,15.674,11.266,1.839,1.907,3,11.226,17.531
BT14.3,16.887,10.232,1.839,1.907,3,11.226,17.531
BT14.3,16.887,10.232,1.839,1.907,3,11.226,17.531
BT14.3,16.887,10.232,1.839,1.907,3,11.226,17.531
BT16.3,31.1,18.413,1.839,1.907,3,11.226,17.531
BT16.3,31.1,18.413,1.839,1.907,3,11.226,17.531
BT16.3,31.1,18.413,1.839,1.907,3,11.226,17.531
BT2,19.161,10.351,1.847,1.848,1,8.581,17.333
BT2,19.161,10.351,1.847,1.848,1,8.581,17.333
BT2,19.161,10.351,1.847,1.848,1,8.581,17.333
BT3,17.544,7.238,1.847,1.848,1,8.581,17.333
BT3,17.544,7.238,1.847,1.848,1,8.581,17.333
BT3,17.544,7.238,1.847,1.848,1,8.581,17.333
BT4,17.496,6.473,1.847,1.848,1,8.581,17.333
BT4,17.496,6.473,1.847,1.848,1,8.581,17.333
BT4,17.496,6.473,1.847,1.848,1,8.581,17.333
BT41.172,18.247,11.807,1.839,1.907,3,11.226,17.531
BT41.172,18.247,11.807,1.839,1.907,3,11.226,17.531
BT41.172,18.247,11.807,1.839,1.907,3,11.226,17.531
BT42.154,18.133,13.402,1.839,1.907,3,11.226,17.531
BT42.154,18.133,13.402,1.839,1.907,3,11.226,17.531
BT42.154,18.133,13.402,1.839,1.907,3,11.226,17.531
BT42.155,17.286,10.699,1.839,1.907,3,11.226,17.531
BT42.155,17.286,10.699,1.839,1.907,3,11.226,17.531
BT42.155,17.286,10.699,1.839,1.907,3,11.226,17.531
BT42.159,17.734,8.152,1.839,1.907,3,11.226,17.531
BT42.159,17.734,8.152,1.839,1.907,3,11.226,17.531
BT42.159,17.734,8.152,1.839,1.907,3,11.226,17.531
BT42.161,17.852,12.054,1.839,1.907,3,11.226,17.531
BT42.161,17.852,12.054,1.839,1.907,3,11.226,17.531
BT42.161,17.852,12.054,1.839,1.907,3,11.226,17.531
BT42.170,16.568,8.299,1.839,1.907,3,11.226,17.531
BT42.170,16.568,8.299,1.839,1.907,3,11.226,17.531
BT42.170,16.568,8.299,1.839,1.907,3,11.226,17.531
BT5,18.723,9.475,1.847,1.848,1,8.581,17.333
BT5,18.723,9.475,1.847,1.848,1,8.581,17.333
BT5,18.723,9.475,1.847,1.848,1,8.581,17.333
BT6,20.532,9.592,1.847,1.848,1,8.581,17.333
BT6,20.532,9.592,1.847,1.848,1,8.581,17.333
BT6,20.532,9.592,1.847,1.848,1,8.581,17.333
BT7,18.563,24.237,1.847,1.848,1,8.581,17.333
BT7,18.563,24.237,1.847,1.848,1,8.581,17.333
BT7,18.563,24.237,1.847,1.848,1,8.581,17.333
BT8,18.301,7.772,1.847,1.848,1,8.581,17.333
BT8,18.301,7.772,1.847,1.848,1,8.581,17.333
BT8,18.301,7.772,1.847,1.848,1,8.581,17.333
BT9,16.849,9.47,1.847,1.848,1,8.581,17.333
BT9,16.849,9.47,1.847,1.848,1,8.581,17.333
BT9,16.849,9.47,1.847,1.848,1,8.581,17.333
CT10,19.832,8.692,1.847,1.848,1,8.581,17.333
CT10,19.832,8.692,1.847,1.848,1,8.581,17.333
CT10,19.832,8.692,1.847,1.848,1,8.581,17.333
CT10.10,16.847,12.177,1.839,1.907,3,11.226,17.531
CT10.10,16.847,12.177,1.839,1.907,3,11.226,17.531
CT10.10,16.847,12.177,1.839,1.907,3,11.226,17.531
CT10.11,18.861,12.973,1.839,1.907,3,11.226,17.531
CT10.11,18.861,12.973,1.839,1.907,3,11.226,17.531
CT10.11,18.861,12.973,1.839,1.907,3,11.226,17.531
CT10.12,17.903,12.755,1.839,1.907,3,11.226,17.531
