,Sample,scg,tel,eff.scg,eff.tel,plate,ref.tel,ref.scg,tel.cq,scg.cq,top,bottom,ratio,ratio2,mean,sd,zscore
183,P32.3,17.087,12.51,1.843,1.906,2,11.724,17.977,-0.786,0.89,0.602314618,1.723128035,0.349547222,0.349547222,,,-0.531050526
184,P32.4,16.01,11.367,1.843,1.906,2,11.724,17.977,0.357,1.967,1.258936642,3.328804841,0.378194788,0.378194788,,,-0.519261404
185,P32.6,17.394,13.291,1.843,1.906,2,11.724,17.977,-1.567,0.583,0.363954775,1.428240258,0.254827416,0.254827416,,,-0.57002987
186,PH2.11,16.728,12.12,1.843,1.906,2,11.724,17.977,-0.396,1.249,0.774589014,2.146056461,0.36093599,0.36093599,,,-0.52636379
187,PH2.12,18.185,13.105,1.843,1.906,2,11.724,17.977,-1.381,-0.208,0.410346072,0.880583879,0.465993168,0.465993168,,,-0.483130383
188,PH2.16,17.494,11.983,1.843,1.906,2,11.724,17.977,-0.259,0.483,0.84615158,1.343534234,0.629795326,0.629795326,,,-0.415722088
189,PH2.23,18.393,13.075,1.843,1.906,2,11.724,17.977,-1.351,-0.416,0.418363673,0.775427967,0.539526159,0.539526159,,,-0.452869893
190,PH2.24,16.81,12.196,1.843,1.906,2,11.724,17.977,-0.472,1.167,0.73753391,2.041117782,0.361338242,0.361338242,,,-0.526198255
191,PH2.30,17.5,12.591,1.843,1.906,2,11.724,17.977,-0.867,0.477,0.571654266,1.338614685,0.427049152,0.427049152,,,-0.499156727
192,PH3.27,18.238,12.041,1.839,1.907,3,11.226,17.531,-0.815,-0.707,0.590900266,0.650040952,0.909020061,0.909020061,,,-0.30081479
193,PH3.28,19.676,12.866,1.839,1.907,3,11.226,17.531,-1.64,-2.145,0.346916426,0.270689987,1.281600513,1.281600513,,,-0.147489501
194,PH3.29,18.581,12.8,1.839,1.907,3,11.226,17.531,-1.574,-1.05,0.362016203,0.52745958,0.686339233,0.686339233,,,-0.392452991
195,PH3.30,18.862,13.55,1.839,1.907,3,11.226,17.531,-2.324,-1.331,0.223082236,0.444469248,0.501907021,0.501907021,,,-0.46835102
196,PH3.31,17.005,11.527,1.839,1.907,3,11.226,17.531,-0.301,0.526,0.823406785,1.377748635,0.597646598,0.597646598,,,-0.428952017
197,PH3.34,18.356,13.694,1.839,1.907,3,11.226,17.531,-2.468,-0.825,0.203279924,0.604950825,0.336027187,0.336027187,,,-0.536614326
198,TRE3,19.035,14.498,1.839,1.907,3,11.226,17.531,-3.272,-1.504,0.120974137,0.40000837,0.302429014,0.302429014,,,-0.550440735
199,TRE4,19.466,15.393,1.839,1.907,3,11.226,17.531,-4.167,-1.935,0.067885757,0.307634015,0.220670515,0.220670515,,,-0.584086208
200,TRE5,17.278,13.977,1.839,1.907,3,11.226,17.531,-2.751,0.253,0.169338319,1.166646218,0.145149674,0.145149674,,,-0.615164743
201,TRE6,17.729,14.902,1.839,1.907,3,11.226,17.531,-3.676,-0.198,0.093203206,0.886365447,0.10515212,0.10515212,,,-0.631624642
202,TRE7,18.733,13.534,1.839,1.907,3,11.226,17.531,-2.308,-1.202,0.225398281,0.480809192,0.46878946,0.46878946,,,-0.481979646
203,TRE9,18.914,15.098,1.839,1.907,3,11.226,17.531,-3.872,-1.383,0.082126273,0.430609363,0.190721058,0.190721058,,,-0.596411087
204,TSE16,18.035,12.799,1.839,1.907,3,11.226,17.531,-1.573,-0.504,0.362249971,0.735615393,0.492444795,0.492444795,,,-0.47224494
205,TSE17,18.053,10.127,1.839,1.907,3,11.226,17.531,1.099,-0.522,2.032850363,0.727592707,2.793939993,2.793939993,,,0.474872425
206,TSE18,19.445,12.173,1.839,1.907,3,11.226,17.531,-0.947,-1.914,0.542635114,0.311595065,1.741475318,1.741475318,,,0.04175939
207,TSE19,21.601,14.839,1.839,1.907,3,11.226,17.531,-3.613,-4.07,0.097071769,0.083782316,1.158618834,1.158618834,,,-0.198099245
208,TSE20,15.988,11.159,1.839,1.907,3,11.226,17.531,0.067,1.543,1.044199537,2.560056842,0.407881388,0.407881388,,,-0.507044696
209,TSE22,17.573,10.942,1.839,1.907,3,11.226,17.531,0.284,-0.042,1.201211819,0.97473726,1.232344211,1.232344211,,,-0.167759584
210,V2,18.338,10.5595,1.847,1.848,1,8.581,17.333,-1.9785,-1.005,0.341878044,0.683367418,0.557589229,0.557589229,,,-0.445436531
211,V3,21.108,10.316,1.847,1.848,1,8.581,17.333,-1.735,-3.775,0.344565735,0.098647815,3.492887659,3.492887659,,,0.762505209
212,V4,18.054,9.565,1.847,1.848,1,8.581,17.333,-0.984,-0.721,0.546468666,0.642506267,0.850526591,0.850526591,,,-0.324886176
213,V5,19.23,8.714,1.847,1.848,1,8.581,17.333,-0.133,-1.897,0.921570657,0.312257084,2.951320259,2.951320259,,,0.539637967
214,V6,18.444,10.9,1.847,1.848,1,8.581,17.333,-2.319,-1.111,0.240723306,0.505772578,0.475951675,0.475951675,,,-0.479032232
215,V7,19.557,20.613,1.847,1.848,1,8.581,17.333,-12.032,-2.224,0.000618076,0.255492187,0.002419158,0.002419158,,,-0.673901581
216,V8,19.1,11.13,1.847,1.848,1,8.581,17.333,-2.549,-1.767,0.20901463,0.338183953,0.618050114,0.618050114,,,-0.420555509
217,VL13.10,17.815,12.697,1.843,1.906,2,11.724,17.977,-0.973,0.162,0.533876029,1.104117019,0.483532108,0.483532108,,,-0.475912713
218,VL13.11,17.398,10.189,1.843,1.906,2,11.724,17.977,1.535,0.579,2.691464437,1.424751652,1.889076201,1.889076201,,,0.102500494
219,VL13.12,17.391,12.354,1.843,1.906,2,11.724,17.977,-0.63,0.586,0.666074144,1.430862317,0.465505406,0.465505406,,,-0.483331109
220,VL13.13,16.674,14.914,1.843,1.906,2,11.724,17.977,-3.19,1.303,0.127763841,2.218091777,0.057600791,0.057600791,,,-0.65119309
221,VL13.14,18.006,12.599,1.843,1.906,2,11.724,17.977,-0.875,-0.029,0.568712096,0.982425814,0.578885539,0.578885539,,,-0.436672618
222,VL13.15,17.924,11.393,1.843,1.906,2,11.724,17.977,0.331,0.053,1.238000097,1.032934642,1.198527038,1.198527038,,,-0.181676116
223,VL16.14,20.325,10.427,1.843,1.906,2,11.724,17.977,1.297,-2.348,2.308444281,0.237983317,9.70002567,,,,
